,European Union Emissions Trading System (until 2018),,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, 
2011-02-07,1,1.364895,EUR,, 
2011-02-08,1,1.364895,EUR,14.22, 
2011-02-09,1,1.364895,EUR,, 
2011-02-10,1,1.364895,EUR,, 
2011-02-11,1,1.364895,EUR,, 
2011-02-14,1,1.364895,EUR,, 
2011-02-15,1,1.364895,EUR,14.47, 
2011-02-16,1,1.364895,EUR,, 
2011-02-17,1,1.364895,EUR,, 
2011-02-18,1,1.364895,EUR,, 
2011-02-21,1,1.364895,EUR,, 
2011-02-22,1,1.364895,EUR,14.98, 
2011-02-23,1,1.364895,EUR,, 
2011-02-24,1,1.364895,EUR,, 
2011-02-25,1,1.364895,EUR,, 
2011-02-28,1,1.364895,EUR,, 
2011-03-01,1,1.399917391,EUR,15.11, 
2011-03-02,1,1.399917391,EUR,, 
2011-03-03,1,1.399917391,EUR,, 
2011-03-04,1,1.399917391,EUR,, 
2011-03-07,1,1.399917391,EUR,, 
2011-03-08,1,1.399917391,EUR,15.44, 
2011-03-09,1,1.399917391,EUR,, 
2011-03-10,1,1.399917391,EUR,, 
2011-03-11,1,1.399917391,EUR,, 
2011-03-14,1,1.399917391,EUR,, 
2011-03-15,1,1.399917391,EUR,15.99, 
2011-03-16,1,1.399917391,EUR,, 
2011-03-17,1,1.399917391,EUR,, 
2011-03-18,1,1.399917391,EUR,, 
2011-03-21,1,1.399917391,EUR,, 
2011-03-22,1,1.399917391,EUR,16.28, 
2011-03-23,1,1.399917391,EUR,, 
2011-03-24,1,1.399917391,EUR,, 
2011-03-25,1,1.399917391,EUR,, 
2011-03-28,1,1.399917391,EUR,, 
2011-03-29,1,1.399917391,EUR,16.8, 
2011-03-30,1,1.399917391,EUR,, 
2011-03-31,1,1.399917391,EUR,, 
2011-04-01,1,1.444178947,EUR,, 
2011-04-04,1,1.444178947,EUR,, 
2011-04-05,1,1.444178947,EUR,16.84, 
2011-04-06,1,1.444178947,EUR,, 
2011-04-07,1,1.444178947,EUR,, 
2011-04-08,1,1.444178947,EUR,, 
2011-04-11,1,1.444178947,EUR,, 
2011-04-12,1,1.444178947,EUR,16.33, 
2011-04-13,1,1.444178947,EUR,, 
2011-04-14,1,1.444178947,EUR,, 
2011-04-15,1,1.444178947,EUR,, 
2011-04-18,1,1.444178947,EUR,, 
2011-04-19,1,1.444178947,EUR,16.2, 
2011-04-20,1,1.444178947,EUR,, 
2011-04-21,1,1.444178947,EUR,, 
2011-04-26,1,1.444178947,EUR,16.42, 
2011-04-27,1,1.444178947,EUR,, 
2011-04-28,1,1.444178947,EUR,, 
2011-04-29,1,1.444178947,EUR,, 
2011-05-02,1,1.434863636,EUR,, 
2011-05-03,1,1.434863636,EUR,16.92, 
2011-05-04,1,1.434863636,EUR,, 
2011-05-05,1,1.434863636,EUR,, 
2011-05-06,1,1.434863636,EUR,, 
2011-05-09,1,1.434863636,EUR,, 
2011-05-10,1,1.434863636,EUR,16.71, 
2011-05-11,1,1.434863636,EUR,, 
2011-05-12,1,1.434863636,EUR,, 
2011-05-13,1,1.434863636,EUR,, 
2011-05-16,1,1.434863636,EUR,, 
2011-05-17,1,1.434863636,EUR,16.51, 
2011-05-18,1,1.434863636,EUR,, 
2011-05-19,1,1.434863636,EUR,, 
2011-05-20,1,1.434863636,EUR,, 
2011-05-23,1,1.434863636,EUR,, 
2011-05-24,1,1.434863636,EUR,16.06, 
2011-05-25,1,1.434863636,EUR,, 
2011-05-26,1,1.434863636,EUR,, 
2011-05-27,1,1.434863636,EUR,, 
2011-05-30,1,1.434863636,EUR,, 
2011-05-31,1,1.434863636,EUR,16.9, 
2011-06-01,1,1.438840909,EUR,, 
2011-06-03,1,1.438840909,EUR,, 
2011-06-06,1,1.438840909,EUR,, 
