,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2026-01-27,1,1.17382381,EUR,85.93,, 
2026-01-29,1,1.17382381,EUR,82.58,, 
2026-01-30,1,1.17382381,EUR,81.68,, 
2026-02-02,1,1.182395,EUR,80.57,, 
2026-02-03,1,1.182395,EUR,81.7,, 
2026-02-04,1,1.182395,EUR,80.8,, 
2026-02-05,1,1.182395,EUR,80.55,, 
2026-02-06,1,1.182395,EUR,77.23,, 
2026-02-09,1,1.182395,EUR,78.53,, 
2026-02-10,1,1.182395,EUR,79.2,, 
2026-02-12,1,1.182395,EUR,70.89,, 
2026-02-13,1,1.182395,EUR,71.5,, 
2026-02-16,1,1.182395,EUR,69.8,, 
2026-02-17,1,1.182395,EUR,67.82,, 
2026-02-18,1,1.182395,EUR,69.22,, 
2026-02-19,1,1.182395,EUR,70.51,, 
2026-02-20,1,1.182395,EUR,70.87,, 
2026-02-23,1,1.182395,EUR,70.4,, 
2026-02-24,1,1.182395,EUR,69.7,, 
2026-02-26,1,1.182395,EUR,68.37,, 
2026-02-27,1,1.182395,EUR,70.26,, 
2026-03-02,1,1.155831818,EUR,68.42,, 
2026-03-03,1,1.155831818,EUR,68.77,, 
2026-03-04,1,1.155831818,EUR,70.75,, 
2026-03-05,1,1.155831818,EUR,68.99,, 
2026-03-06,1,1.155831818,EUR,69.66,, 
2026-03-09,1,1.155831818,EUR,68.53,, 
2026-03-10,1,1.155831818,EUR,71.1,, 
2026-03-12,1,1.155831818,EUR,70.58,, 
2026-03-13,1,1.155831818,EUR,67.07,, 
2026-03-16,1,1.155831818,EUR,68.41,, 
2026-03-17,1,1.155831818,EUR,64.52,, 
2026-03-18,1,1.155831818,EUR,65.16,, 
2026-03-19,1,1.155831818,EUR,62.19,, 
2026-03-20,1,1.155831818,EUR,66.69,, 
2026-03-23,1,1.155831818,EUR,64.7,, 
2026-03-24,1,1.155831818,EUR,67.06,, 
2026-03-26,1,1.155831818,EUR,69.12,, 
2026-03-27,1,1.155831818,EUR,70.55,, 
2026-03-30,1,1.155831818,EUR,70,, 
2026-03-31,1,1.155831818,EUR,71.13,, 
2026-04-01,1,1.17064,EUR,71.56,, 
2026-04-02,1,1.17064,EUR,71.71,, 
2026-04-07,1,1.17064,EUR,70.6,, 
2026-04-09,1,1.17064,EUR,70.67,, 
2026-04-10,1,1.17064,EUR,72,, 
2026-04-13,1,1.17064,EUR,70.62,, 
2026-04-14,1,1.17064,EUR,72.1,, 
2026-04-15,1,1.17064,EUR,73.57,, 
2026-04-16,1,1.17064,EUR,72.4,, 
2026-04-17,1,1.17064,EUR,75.9,, 
2026-04-20,1,1.17064,EUR,74.84,, 
2026-04-21,1,1.17064,EUR,73.9,, 
2026-04-23,1,1.17064,EUR,73.63,, 
2026-04-24,1,1.17064,EUR,74.03,, 
2026-04-27,1,1.17064,EUR,73.2,, 
2026-04-28,1,1.17064,EUR,74.14,, 
2026-04-29,1,1.17064,EUR,73.96,, 
2026-04-30,1,1.17064,EUR,71.8,, 
2026-05-04,1,1.16732,EUR,72.65,, 
2026-05-05,1,1.16732,EUR,72.63,, 
2026-05-07,1,1.16732,EUR,74.72,, 
2026-05-08,1,1.16732,EUR,74.16,, 
2026-05-11,1,1.16732,EUR,73.82,, 
2026-05-12,1,1.16732,EUR,75,, 
2026-05-13,1,1.16732,EUR,73.31,, 
2026-05-18,1,1.16732,EUR,74.75,, 
2026-05-19,1,1.16732,EUR,74.26,, 
2026-05-21,1,1.16732,EUR,73.85,, 
2026-05-22,1,1.16732,EUR,74.4,, 
2026-05-26,1,1.16732,EUR,75.7,, 
2026-05-27,1,1.16732,EUR,77.96,, 
2026-05-28,1,1.16732,EUR,77.67,, 
2026-05-29,1,1.16732,EUR,79.37,, 
2026-06-01,1,1.1518,EUR,78.2,, 
2026-06-02,1,1.1518,EUR,77.15,, 
2026-06-04,1,1.1518,EUR,76.96,, 
2026-06-05,1,1.1518,EUR,76.3,, 
2026-06-08,1,1.1518,EUR,75.08,, 
2026-06-09,1,1.1518,EUR,75.11,, 
2026-06-10,1,1.1518,EUR,74.97,, 
2026-06-11,1,1.1518,EUR,75.62,, 
2026-06-12,1,1.1518,EUR,76.82,, 
2026-06-15,1,1.1518,EUR,77.01,, 
2026-06-16,1,1.1518,EUR,78.61,, 
2026-06-18,1,1.1518,EUR,78.57,, 
2026-06-19,1,1.1518,EUR,79.12,, 
2026-06-22,1,1.1518,EUR,79.04,, 
2026-06-23,1,1.1518,EUR,80.1,, 
2026-06-24,1,1.1518,EUR,80.43,, 
2026-06-25,1,1.1518,EUR,80.38,, 
2026-06-26,1,1.1518,EUR,79.72,, 
2026-06-29,1,1.1518,EUR,79.01,, 
2026-06-30,1,1.1518,EUR,78.13,, 
